STOREID;STORE APPLICATIONTYPE;STORENAME;STORECATEGORY;STORESTREET;STORENUMBER;STOREPOSTAL;STORECITY;STOREPHONE;STOREEMAIL;STOREWEBSITE;STORELONGITUDE;STORELATITUDE;STOREFACEBOOK
67;Customer Loyalty;KitEncre Anderlecht;Informatique;Chaussee de Ninove;497;1070;Bruxelles;02/410.44.70;artistick@artistick.be;http://www.kitencre.be;4,30499480;50,84758060;https://www.facebook.com/pages/KITENCRE-CARTOUCHETOP/128941690459521
72;Customer Loyalty;Stockline Etterbeek;Magasins;Avenue de Tervuren;38;1040;Etterbeek;02/732.79.37;etterbeek@stockline.be;http://www.stockline.be;4,40098470;50,83905380;https://www.facebook.com/Stockline.Discount
74;Customer Loyalty;Kitencre Waterloo;Informatique;chee de Tervuren;42;1410;Waterloo;02/351.65.00;1410@kitencre.be;http://www.kitencre.be;4,40293450;50,70221260;https://www.facebook.com/pages/KITENCRE-CARTOUCHETOP/128941690459521
75;Customer Loyalty;Exotic Charleroi;Bien-être;Boulevard Tirou;221;6000;Charleroi;071/31.27.17;exoticsuncharleroi@gmail.com;http://www.exoticsun.be;4,44703780;50,40628060;https://www.facebook.com/exot1csun
78;Customer Loyalty;Exotic Sun Sainte Catherine;Bien-être;Boulevard Anspach;1;1000;Bruxelles;02/218.47.00;pub@exoticsun.be;http://www.exoticsun.be;4,35082480;50,85168930;https://www.facebook.com/exot1csun
79;Customer Loyalty;Esthetique;Bien-être;Rue de laeken;1;1000;Bruxelles;02/218.47.00;esquent1@gmail.com;http://www.exoticsun.be;4,35082480;50,85168930;
80;Customer Loyalty;Exotic Sun Bailli;Bien-être;Rue du Bailli;80;1050;Bruxelles;02/538.23.63;exotic.bailli@gmail.com;http://www.exoticsun.be;4,36019550;50,82567570;https://www.facebook.com/exot1csun
89;Customer Loyalty;Stockline Uccle;Magasins;Rue Vanderkindere;465;1180;Uccle;02/345.58.67;electo_4u@stockline.be;http://www.stockline.be;4,36444680;50,81440070;https://www.facebook.com/Stockline.Discount
95;Customer Loyalty;Grenache;Vin & armoires à vin;Groene laan;59;2830;Willebroek;03/866.00.11;info@univer.be;http://www.univer.be;4,36420190;51,06717600;
106;Customer Loyalty;Comme 1 poisson dans l'O;Vêtements;Rue des combattants;94;1310;La Hulpe;02/653.22.65;info@backstage-lasne.be;http://commeunpoissondanslo.blogspot.be/;4,48657990;50,73090130;
107;Customer Loyalty;JB Sonic;Electronique;La mazerine;16;1332;Genval;02/653.19.22;info@jbsonic.be;http://www.jbsonic.be;4,49421870;50,73153730;
110;Customer Loyalty;Stockline Auderghem;Magasins;Chaussee de Wavre;1565;1160;Auderghem;02/675.19.56;auderghem@stockline.be;http://www.stockline.be;4,41916180;50,81779360;https://www.facebook.com/Stockline.Discount
112;Customer Loyalty;Edgar&Co;Divers;Chaussee de Saint Job;713;1180;Uccle;02/372.98.00;contact@edgarandco.be;http://www.edgarandco.be;4,36227130;50,79300770;https://www.facebook.com/pages/Edgar-Co/213485592005043
113;Customer Loyalty;Oenotheque Grafe Lecocq;Vin & armoires à vin;Place Saint Aubain;15;5000;Namur;081/22.13.05;contact@grafe.be;http://www.grafe.be;4,86098640;50,46397280;
115;Customer Loyalty;Exotic Sun Prince d'Orange;Bien-être;Chaussee de Waterloo;1475;1180;Bruxelles;02/374.71.86;exoticsunuccleprincedorange@hotmail.com;http://www.exoticsun.be;4,37874060;50,78359240;https://www.facebook.com/exot1csun
122;Customer Loyalty;Superfit Amincissement, soins et Bronzage;Bien-être;Chaussée de Bruxelles;674;1410;Waterloo;02/384.72.08;lars@superfit.be;http://www.super-fit.be;4,40323590;50,69529370;https://www.facebook.com/centres.superfit
143;Customer Loyalty;Mise en Scene;Décorateurs;Chaussee de Bruxelles;483;1410;Waterloo;02/387.04.08;claude@mise-en-scene.be;http://www.mise-en-scene.be;4,40353010;50,69502440;https://www.facebook.com/MiseEnScene.Waterloo
146;Customer Loyalty;BD World Wavre;Librairies;Boulevard de l'Europe;137b;1301;Wavre;010/42.01.51;wavre@bd-world.net;http://www.bd-world.com;4,59277900;50,70364430;https://www.facebook.com/BDWorldFanPage
147;Customer Loyalty;BD World Jambes;Librairies;Rue de la Gare fleurie 081304500;16;5100;Jambes;081/304.500;jambes@bd-wold.net;http://www.bd-world.com;4,87396630;50,45369190;https://www.facebook.com/BDWorldFanPage
148;Customer Loyalty;BD World Waterloo;Librairies;Chaussée de Bruxelles;216;1410;Waterloo;02/353.00.24;waterloo@bd-world.net;http://www.bd-world.com;4,39769020;50,71829510;https://www.facebook.com/BDWorldFanPage
149;Customer Loyalty;BD World Mons;Librairies;Place des Grands Prés 1 - 7000;1;7000;Mons;065/59.50.01;mons@bd-world.net;http://www.bd-world.com;3,93084270;50,45598570;https://www.facebook.com/BDWorldFanPage
150;Customer Loyalty;BD World Loverval;Librairies;Route de Philippeville;138;6280;Loverval;071/47.58.60;loverval@bd-world.net;http://www.bd-world.com;4,46058220;50,38911470;https://www.facebook.com/BDWorldFanPage
152;Customer Loyalty;BD World Bruxelles;Librairies;Place du Grand Sablon;8;1000;Bruxelles;02/514.16.08;bruxelles@bd-world.com;http://www.bd-world.com;4,35487190;50,84136240;https://www.facebook.com/BDWorldFanPage
154;Customer Loyalty;Exotic Prince orange esthétique;Bien-être;Chaussée de Waterloo;1475;1180;Bruxelles;02/374.71.86;exoticsunuccleprincedorange@hotmail.com;http://www.exoticsunuccleprincedorange.com;4,37874060;50,78359240;https://www.facebook.com/exot1csun
155;Customer Loyalty;1001 PATTES Stockel;Chaussures;Rue de l'Eglise;127;1150;Woluwé-Saint-Pierre;010/43.57.41;info@1001pattes.be;http://www.1001pattes.be;4,46399790;50,84047970;https://www.facebook.com/pages/1001-Pattes/310579478998667
158;Customer Loyalty;Superfit Wavre;Bien-être;"Rue de l&rsquo;Ermitage";19;1300;Wavre;010/24.75.60;Lars@superfit.be;http://www.super-fit.be/;4,60509960;50,71657800;https://www.facebook.com/centres.superfit
163;Customer Loyalty;Superfit Gosselies;Bien-être;Rue Port à Migneloux;1c;6041;Gosselies;071/81.98.35;superfitgosselies1@gmail.com;http://www.super-fit.be;4,43251000;50,46910000;
164;Customer Loyalty;Superfit Ath;Bien-être;Chaussée de Mons;187;7800;Ath;068/33.41.44;info@superfit.be;http://www.super-fit.be;3,77682360;50,62314130;https://www.facebook.com/centres.superfit
165;Customer Loyalty;L'Astragale Quaregnon;Bien-être;Rue Jules Destrée;102;7390;Quaregnon;065/80.12.98;khrystsina@hotmail.com;;3,86942270;50,44538290;
167;Customer Loyalty;Coté Soleil, Coté Beauté;Bien-être;Cours Saint Michel;99;1040;Bruxelles;02/735.15.30;virgil.poppe@gmail.com;http://www.super-fit.be;4,40056550;50,83334390;https://www.facebook.com/centres.superfit
168;Customer Loyalty;L'Astragale Saint-Gilles;Bien-être;Avenue Jean Volders;21;1060;Bruxelles;02/537.67.28;saint-gilles@lastragale.be;;4,34296810;50,83202550;
170;Customer Loyalty;Filigranes;Librairies;Avenue des Arts;39-40;1040;Bruxelles;02/511.90.15;myriam@filigranes.be;http://www.filigranes.be;4,36785370;50,84335080;https://www.facebook.com/filigranes?fref=ts
172;Customer Loyalty;Filigranes Corner;Librairies;Avenue Louis Lepoutre;21;1050;Ixelles;02/343.01.70;corner@filigranes.be;http://www.filigranes.be;4,35840300;50,81968210;https://www.facebook.com/filigranes
173;Customer Loyalty;Le petit Filigranes;Librairies;Parvis Saint-Pierre;10;1180;Bruxelles;02/343.69.01;info@lepetitfiligranes.be;http://www.filigranes.be;4,33909040;50,80323300;https://www.facebook.com/filigranes
186;Customer Loyalty;Jean-Claude Biguine Bastogne;Coiffeurs;Rue du Sablon;213;6600;Bastogne;061/21.54.08;;http://bastogne.franchise-biguine.com/;5,72092000;50,00495710;https://www.facebook.com/biguine.belux
193;Customer Loyalty;Corman;Librairies;Zeedijk;777;8300;Knokke;09/0240.03.62;vangeem.p@filigranes.be;;3,30052110;51,35547220;
194;Customer Loyalty;Restaurant Marcellos;Restaurants;Klein Brusselstraat;1;1670;Pepingen (heikruis);02/396.07.97;restaurant.marcello@hotmail.be;http://www.restaurantmarcellos.be;4,07283310;50,71245900;
198;Customer Loyalty;Carrément Bon Namur centre;Pâtisseries;Rue Saint-Jacques;11;5000;Namur;081/22.03.12;info@carrementbon.be;http://www.carrementbon.be;4,86450680;50,46499380;
199;Customer Loyalty;Melvin Bruxelles;Vêtements;Rue de l'église ,;96a;1150;Bruxelles;02/779.28.99;fashion@melvin.be;http://www.melvin.be/;4,46427750;50,84064400;https://www.facebook.com/MelvinBrussels
200;Customer Loyalty;Melvin Leuven;Vêtements;FochPlein;11;3000;Leuven;016/22.42.14;fashion@melvin.be;http://www.melvin.be/;4,70340100;50,87920010;https://www.facebook.com/MelvinBrussels
201;Customer Loyalty;Melvin Sint Truiden;Vêtements;Grote Markt;27;3800;Sint Truiden;011/69.82.47;fashion@melvin.be;http://www.melvin.be/;5,18457640;50,81472110;https://www.facebook.com/MelvinBrussels
204;Customer Loyalty;1001 PATTES Waterloo;Chaussures;Passage Wellington  Chaussée de Bruxelles;165-167;1410;Waterloo;010/43.57.42;info@1001pattes.be;http://www.1001pattes.be;4,39838640;50,71654020;https://www.facebook.com/pages/1001-Pattes/310579478998667
205;Customer Loyalty;1001 PATTES Galerie Louise;Chaussures;Galerie de la Porte Louise;259;1050;Bruxelles;010/43.57.47;info@1001pattes.be;http://www.1001pattes.be;4,37669270;50,82357170;https://www.facebook.com/pages/1001-Pattes/310579478998667
206;Customer Loyalty;1001 PATTES Toison d'or;Chaussures;"Avenue de la Toison d&rsquo;Or";43;1050;Bruxelles;010/43.57.46;info@1001pattes.be;http://www.1001pattes.be;4,35667760;50,83640500;https://www.facebook.com/pages/1001-Pattes/310579478998667
211;Customer Loyalty;Franck Provost Waterloo;Coiffeurs;Chaussée de Bruxelles;238;1410;Waterloo;02/354.18.15;info@franckprovost.be;http://www.franckprovost.lu;4,39824890;50,71625380;https://www.facebook.com/franckprovostbelux
212;Customer Loyalty;Franck Provost Tournai;Coiffeurs;Saint Brice;4;7500;Tournai;069/22.41.12;info@franckprovost.be;http://www.franckprovost.lu;3,39288240;50,60710060;https://www.facebook.com/franckprovostbelux
213;Customer Loyalty;Jean Claude Biguine Schuman;Coiffeurs;Rue de la loi;238;1000;Bruxelles;02/230.05.25;ca@huybrechts.biz;http://www.biguine.com;4,38501980;50,84235540;https://www.facebook.com/biguine.belux
215;Customer Loyalty;Melvin Namur;Vêtements;Rue Saint-Jacques;9;5000;Namur;081/22.81.97;fashion@melvin.be;http://www.melvin.be;4,86459300;50,46497610;https://www.facebook.com/MelvinBrussels
218;Customer Loyalty;Mark Sport Hognoul;Sports et loisirs;Rue Chaussée;90-92;4342;Hognoul;04/263.49.44;info@mksweb.be;http://www.mksweb.be;5,45597400;50,68633100;
222;Customer Loyalty;Jean Claude Biguine Rochefort;Coiffeurs;Rue de Behogne;39;5580;Rochefort;084/21.22.56;charles2collard@hotmail.com;http://www.biguine.com;5,22318480;50,16114250;https://www.facebook.com/biguine.belux
223;Customer Loyalty;Jean Claude Biguine Marche;Coiffeurs;Rue jean de Bohême;5;6900;Marche en Famenne;084/21.10.18;jcbmarche@hotmail.fr;"http://http;//www.biguine.com";5,34437260;50,22818000;https://www.facebook.com/biguine.belux
224;Customer Loyalty;Jean Claude Biguine Libramont;Coiffeurs;Rue de Bouillon;49;6800;Libramont;02/612.34.80;francois@collard.pro;http://www.biguine.com;5,37333660;49,91803660;https://www.facebook.com/biguine.belux
225;Customer Loyalty;La Cuisine de Mère-Grand;Restaurations;Grandbonpré;11;1436;Mont Saint Guibert;010/88.07.77;;http://www.lacuisinedemeregrand.be/;4,64588300;50,66144500;
231;Customer Loyalty;1001 PATTES Woluwe Femme;Chaussures;Woluwé Shopping Center - Rue St Lambert;202;1200;Woluwé-Saint-Lambert;010/43.57.43;info@1001pattes.be;http://www.1001pattes.be;4,43635200;50,84463730;https://www.facebook.com/pages/1001-Pattes/310579478998667
232;Customer Loyalty;1001 PATTES Woluwe Homme;Chaussures;1001 PATTES Shopping Hommes Woluwé Shopping Center - Rue St Lambert;202 B;1200;Woluwé-Saint-Lambert;010/43.57.45;info@1001pattes.be;http://www.1001pattes.be;4,43635200;50,84463730;https://www.facebook.com/pages/1001-Pattes/310579478998667
234;Customer Loyalty;GSN SPORTS;Sports et loisirs;Boulevard Maurice Lemonnier;3;1000;Bruxelles;02/512.66.95;gsn-sports@hotmail.com;http://www.gsnsports.eu/;4,34586340;50,84502910;
236;Customer Loyalty;1001 PATTES Wavre;Chaussures;Rue Haute;16;1300;Wavre;010/43.57.49;info@1001pattes.be;http://www.1001pattes.be;4,60945180;50,71673280;https://www.facebook.com/pages/1001-Pattes/310579478998667
237;Customer Loyalty;Jean Claude Biguine Buyl;Coiffeurs;Avenue Adolphe Buyl;82;1050;Bruxelles;02/646.36.47;adbuyl@hotmail.com;http://www.biguine.com;4,38219600;50,81660060;https://www.facebook.com/biguine.belux
238;Customer Loyalty;Melvin Antwerpen;Vêtements;Hopland;11;2000;Antwerpen;0497/46.10.32;fashion@melvin.be;http://www.melvin.be/;4,40954590;51,21658390;https://www.facebook.com/MelvinBrussels
239;Customer Loyalty;Chris Oliver;Décorations d'intérieurs;Chaussée de Marche;875;5100;Wierde;081/33.00.33;info@chrisoliver.be;http://www.chrisoliver.be/;4,95167360;50,41199510;https://www.facebook.com/espacechrisoliver
240;Customer Loyalty;Jean Claude Biguine Fort Jaco;Coiffeurs;Chaussée de Waterloo;1384;1180;Bruxelles;02/374.16.14;lucinosprl@hotmail.com;http://www.biguine.com;4,37610520;50,78782590;https://www.facebook.com/biguine.belux
241;Customer Loyalty;Jean Claude Biguine Vleurgat;Coiffeurs;Chaussée de Vleurgat;195;1050;Bruxelles;02/644.61.44;;http://bxl-vleurgat.franchise-biguine.com/;4,36643450;50,82084840;https://www.facebook.com/biguine.belux
243;Customer Loyalty;Plaisirs à petits prix;Grands magasins;Place st martin;1;5060;Tamines;071/72.52.60;123eurostam@gmail.com;;4,61307590;50,43148940;
244;Customer Loyalty;Jean Claude Biguine Waterloo;Coiffeurs;Chaussee de Bruxelles;247a;1410;Waterloo;02/353.23.16;bigwaterloo@hotmail.com;http://www.biguine.com;4,39945860;50,71422260;https://www.facebook.com/biguine.belux
245;Customer Loyalty;Melvin Wavre;Vêtements;Rue Haute;15;1300;Wavre;010/88.08.22;fashion@melvin.be;http://www.melvin.be/;4,60938050;50,71672930;https://www.facebook.com/MelvinBrussels
247;Customer Loyalty;1001 PATTES Ixelles;Chaussures;Chaussée de Boondael;435;1050;Bruxelles;010/43 57 40;info@1001pattes.be;http://www.1001pattes.be/;4,38888380;50,81689470;https://www.facebook.com/pages/1001-Pattes/310579478998667
249;Customer Loyalty;Jean-Claude Biguine Jambes;Coiffeurs;Avenue Jean Materne;89;5100;Jambes;081/31.15.03;;;4,87172550;50,45644420;https://www.facebook.com/biguine.belux
253;Customer Loyalty;Tahiti Sun;Bien-être;Place de l'Orneau;26;5030;Gembloux;081/61.10.31;verocosseeric@gmail.com;;4,69181410;50,56023140;
255;Customer Loyalty;Backstage;Vêtements;Route de genval;2 bte 1;138;Lasne;02/654.27.96;info@backstage-lasne.be;http://www.backstage-lasne.be;4,48135000;50,68736000;
256;Customer Loyalty;Melvin Lier;Vêtements;Groote Markt;20;2500;Lier;03/480.31.67;fashion@melvin.be;http://www.melvin.be;4,56969560;51,13079180;https://www.facebook.com/MelvinBrussels
258;Customer Loyalty;Chichis Braine l'alleud;HORECA;Chaussée de Nivelles Braine-l'Alleud;29-31;1420;Braine-l'Alleud;02/387.54.35;waterloo@chichis.be;http://www.chichis.be;4,39102700;50,67220600;
269;Customer Loyalty;La Coccinelle;Jeux et Jouets;Rue de la Croix,;29;5000;Namur;081/41.27.40;lacoccinelle@skynet.be;http://www.lacoccinelle.be;4,86422280;50,46358660;https://www.facebook.com/CoccinelleBoutique
278;Customer Loyalty;Broze Hognoul;Jeux et Jouets;Chaussée de Bruxelles;17;4342;Hognoul;04/275.09.40;info@broze.be;http://www.broze.be/;5,47345310;50,67830760;https://www.facebook.com/GroupeJouetsBroze
279;Customer Loyalty;Broze Drogenbos;Jeux et Jouets;Avenue Paul Gilson;486c;1620;Drogenbos;02/331.40.49;info@broze.be;http://www.broze.be/;4,30653240;50,79473240;https://www.facebook.com/GroupeJouetsBroze
280;Customer Loyalty;Broze Maisières;Jeux et Jouets;Rue Grande;208 bte i;7020;Maisières;065/34.01.31;info@broze.be;http://www.broze.be/;3,96531900;50,48857120;https://www.facebook.com/GroupeJouetsBroze
287;Customer Loyalty;Jean Claude Biguine LLN;Coiffeurs;Rue Charlemagne;19;1348;Louvain-la-Neuve;010/84.50.22;vivian.denis@gmail.com;http://www.biguine.com;4,61177900;50,66967900;https://www.facebook.com/biguine.belux
290;Customer Loyalty;Chichis Zaventem;HORECA;Vilvoordelaan;40;1930;Zaventem;02/721.34.27;zaventem@chichis.be;http://www.chichis.be/;4,47117240;50,89026020;
405;Customer Loyalty;Chichis Charleroi;HORECA;Grand Rue;143;6000;Charleroi;071/37.65.31;c.bombele@chichis.be;http://www.chichis.be;4,45600530;50,41971740;
407;Customer Loyalty;Centre Bohey;Alimentation Generale;Bohey;25;L-9647;Doncols;00352/958453;info@centrebohey.lu;http://www.centrebohey.lu;5,84568430;49,97501050;https://www.facebook.com/CentreBohey
409;Customer Loyalty;Broze Namur Centre;Jeux et Jouets;Rue du Président;15/17;5000;Namur;081/26.19.13;info@broze.be;http://www.broze.be;4,86378470;50,46337730;https://www.facebook.com/GroupeJouetsBroze
410;Customer Loyalty;Broze Laeken;Jeux et Jouets;Rue des Palais Outre-Ponts;420;1020;Bruxelles;02/479.22.47;info@broze.be;http://www.broze.be;4,36041480;50,87591480;https://www.facebook.com/GroupeJouetsBroze
411;Customer Loyalty;Broze Rocourt;Jeux et Jouets;Chaussée de Tongres;289;4000;Rocourt;04/239.02.39;info@broze.be;http://www.broze.be;5,55407330;50,66830430;https://www.facebook.com/GroupeJouetsBroze
412;Customer Loyalty;Broze Boncelles;Jeux et Jouets;Route du Condroz;79;4100;Seraing;04/385.04.85;info@broze.be;http://www.broze.be;5,54824200;50,56287700;https://www.facebook.com/GroupeJouetsBroze
413;Customer Loyalty;Broze Grivegnée;Jeux et Jouets;Rue Bonne-Femme;18;4030;Grivegnee;04/344.48.41;info@broze.be;http://www.broze.be;5,58858500;50,62822800;https://www.facebook.com/GroupeJouetsBroze
414;Customer Loyalty;Broze Soumagne;Jeux et Jouets;Avenue de la Résistance, complexe commercial;;4630;Soumagne;04/377.51.42;info@broze.be;http://www.broze.be;5,73727080;50,61621430;https://www.facebook.com/GroupeJouetsBroze
415;Customer Loyalty;Broze Dison;Jeux et Jouets;Rue Albert 1er;4;4820;Dison;087/66.03.96;info@broze.be;http://www.broze.be;5,85648200;50,60651500;https://www.facebook.com/GroupeJouetsBroze
416;Customer Loyalty;Broze Montignies sur Sambre;Jeux et Jouets;Route de la Basse Sambre;41;6061;Montignies s/ Sambre;071/48.81.20;info@broze.be;http://www.broze.be;4,50946100;50,42143010;https://www.facebook.com/GroupeJouetsBroze
417;Customer Loyalty;Broze St-Georges;Jeux et Jouets;Ch. Verte;93;4470;Saint-Georges-Sur-Meuse;085/31.01.01;info@broze.be;http://www.broze.be;5,34608110;50,60113400;https://www.facebook.com/GroupeJouetsBroze
418;Customer Loyalty;Broze Libramont;Jeux et Jouets;Avenue de Bouillon;63;6800;Libramont;061/23.30.31;info@broze.be;http://www.broze.be;5,36393630;49,91583340;https://www.facebook.com/GroupeJouetsBroze
419;Customer Loyalty;Broze Waterloo;Jeux et Jouets;Chaussée de Bruxelles;495;1410;Waterloo;02/387.41.57;info@broze.be;http://www.broze.be;4,40411930;50,69387730;https://www.facebook.com/GroupeJouetsBroze
420;Customer Loyalty;Broze Liege Centre;Jeux et Jouets;En Féronstrée;90;4000;Liège;04/223.54.45;info@broze.be;http://www.broze.be;5,58041500;50,64682590;https://www.facebook.com/GroupeJouetsBroze
421;Customer Loyalty;Broze Bastogne;Jeux et Jouets;Route de Wiltz;5;6600;Bastogne;061/50.26.17;info@broze.be;http://www.broze.be;5,72081040;49,99655590;https://www.facebook.com/GroupeJouetsBroze
422;Customer Loyalty;Broze La Louvière;Jeux et Jouets;Rue de l'Olive;22;7100;La Louvière;064/33.48.87;info@broze.be;http://www.broze.be;4,18673490;50,47094560;https://www.facebook.com/GroupeJouetsBroze
423;Customer Loyalty;Broze Gozée;Jeux et Jouets;Rue de Marchienne;204b;6534;Gozée;071/36.81.60;info@broze.be;http://www.broze.be;4,36375510;50,35711730;https://www.facebook.com/GroupeJouetsBroze
425;Customer Loyalty;Hobbylant;Bricolage;Rempart Saint Joseph;34;7850;Enghien;02/395.56.06;info@hobbylant.com;http://www.hobbylant.com;4,03771200;50,69670200;
426;Customer Loyalty;Melvin Hasselt;Vêtements;Maastrichtersstraat;50-52;3500;Hasselt;011/22.84.63;fashion@melvin.be;http://www.melvin.be/;5,34474050;50,92151660;https://www.facebook.com/MelvinBrussels
427;Customer Loyalty;Melvin Brugge;Vêtements;Geldmuntstraat;19;8000;Brugge;050/61.54.01;fashion@melvin.be;http://www.melvin.be/;3,22218560;51,20885270;https://www.facebook.com/MelvinBrussels
428;Customer Loyalty;Jean Claude Biguine Liege;Coiffeurs;Rue du Pont d'Or;37;4000;Liege;04/250.64.42;francois@collard.pro;http://www.biguine.com;5,56288740;50,63507570;https://www.facebook.com/biguine.belux
429;Customer Loyalty;Comptoir des vins Woluwé;Vin & armoires à vin;Avenue Emile Vandervelde;35;1200;Bruxelles;02/770.08.04;woluwe@comptoirdesvins.be;http://www.comptoirdesvins.be;4,44350080;50,84703500;https://www.facebook.com/comptoirdesvinsWinesDreams
430;Customer Loyalty;Mamma Roma Boondael;Restaurants;Chaussee de Boondael;467;1050;Ixelles;02/648.48.22;boondael@mammaroma.be;http://www.mammaroma.be;4,38951790;50,81600210;https://www.facebook.com/mammaroma
436;Customer Loyalty;Family Toys - Couvin;Jeux et Jouets;Route Charlemagne;21-Apr;5660;Couvin;060/34.56.27;;http://www.broze.be/;4,49578780;50,06148700;
437;Customer Loyalty;Family Toys - Beauraing;Jeux et Jouets;Rue de Rochefort;41;5570;Beauraing;082/68.86.10;;http://www.broze.be/;4,95965200;50,10935200;
438;Customer Loyalty;Family Toys - Florenville;Jeux et Jouets;Rue de la Poste;1;6820;Florenville;061/46.47.75;familytoys.florenville@gmail.com;http://www.broze.be/;5,30945270;49,69733750;
439;Customer Loyalty;Mijou jouet Broze;Jeux et Jouets;Rue Saint-Jean;10;1370;Jodoigne;010/81.24.79;mijoujod@hotmail.com;http://mijoutoys.e-monsite.com/pages/groupe-broze-mijou-eghezee.html;4,79078720;50,71857690;https://www.facebook.com/GroupeJouetsBroze
442;Customer Loyalty;Demars Beauraing;Vêtements;Rue de Bouillon;10;5570;Beauraing;082/71.02.61;demars.mode@skynet.be;http://www.demars-mode.be;4,95611870;50,10968540;
443;Customer Loyalty;Demars Les dessous;Vêtements;route de rochefort;43;5570;Beauraing;082/22.45.08;;http://www.demars-mode.be;4,96082330;50,11053100;
444;Customer Loyalty;Demars Dinant centre;Vêtements;Rue Grande;149;5500;Dinant;082/22.72.17;;http://www.demars-mode.be;4,91305110;50,26027240;
445;Customer Loyalty;Demars Dinant zoning;Vêtements;tienne de l'europe;2a;5500;Dinant;082/74.51.71;;http://www.demars-mode.be;4,93314980;50,26733620;
446;Customer Loyalty;Mijou Eghezée;Jeux et Jouets;Chaussee de Louvain;32;5310;Eghezée;081/87.92.57;mijoueghezee@hotmail.com;http://mijoutoys.e-monsite.com/pages/groupe-broze-mijou-eghezee.html;4,90896780;50,59484860;
448;Customer Loyalty;Emilie Dorjoux Woluwe;Bijoutiers;Avenue des Communautes;101-103;1200;Woluwe Saint Lambert;02/779.82.84;gregory.lay@bijouterie-emiliedorjoux.be;http://www.emiliedorjoux.be/;4,42666380;50,85646500;
449;Customer Loyalty;Kesseler Men's Fashion;Vêtements;Grand rue;78;6700;Arlon;063/22.35.11;mk@kesseler.be;http://www.kesseler.be;5,81609920;49,68334110;
